Id,Gid,Name,Geometry,Category,Description,Style,Property,Coordinates
22730173337,84EhLiU9QGY,西鉄観光バス株式会社　大阪支社,"{'Type': 'point', 'Coordinates': '135.499011666667,34.738709444444'}",[],,[],"{'Uid': 'b9ccc4be3f27ec8acb0b4484c718475124df966b', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ニシテツカンコウバスオオサカシシャ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市淀川区宮原２丁目１４−１４', 'GovernmentCode': '27123', 'AddressMatchingLevel': '6', 'Tel1': '06-6391-0041', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '26147', 'SubId': '2614701', 'Name': '東三国', 'Railway': '大阪市営御堂筋線', 'Exit': '4', 'ExitId': '11843', 'Distance': '157', 'Time': '1'}, {'Id': '26147', 'SubId': '2614701', 'Name': '東三国', 'Railway': '大阪市営御堂筋線', 'Exit': '6', 'ExitId': '11839', 'Distance': '208', 'Time': '2'}, {'Id': '26147', 'SubId': '2614701', 'Name': '東三国', 'Railway': '大阪市営御堂筋線', 'Exit': '5', 'ExitId': '11844', 'Distance': '219', 'Time': '2'}], 'SmartPhoneCouponFlag': 'false'}","135.499011666667,34.738709444444"
22730173337,84EhLiU9QGY,西鉄観光バス株式会社　大阪支社,"{'Type': 'point', 'Coordinates': '135.499011666667,34.738709444444'}",[],,[],"{'Uid': 'b9ccc4be3f27ec8acb0b4484c718475124df966b', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ニシテツカンコウバスオオサカシシャ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市淀川区宮原２丁目１４−１４', 'GovernmentCode': '27123', 'AddressMatchingLevel': '6', 'Tel1': '06-6391-0041', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '26147', 'SubId': '2614701', 'Name': '東三国', 'Railway': '大阪市営御堂筋線', 'Exit': '4', 'ExitId': '11843', 'Distance': '157', 'Time': '1'}, {'Id': '26147', 'SubId': '2614701', 'Name': '東三国', 'Railway': '大阪市営御堂筋線', 'Exit': '6', 'ExitId': '11839', 'Distance': '208', 'Time': '2'}, {'Id': '26147', 'SubId': '2614701', 'Name': '東三国', 'Railway': '大阪市営御堂筋線', 'Exit': '5', 'ExitId': '11844', 'Distance': '219', 'Time': '2'}], 'SmartPhoneCouponFlag': 'false'}","135.499011666667,34.738709444444"
22730173709,SJbyFqRRS1g,阪急バス株式会社　新大阪チケットセンター,"{'Type': 'point', 'Coordinates': '135.499890277778,34.733973055556'}",[],,[],"{'Uid': '6aea5b9c0c77496e8997a438f258545737728a9e', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ハンキュウバスシンオオサカチケットセンター', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市淀川区宮原１丁目１−１', 'GovernmentCode': '27123', 'AddressMatchingLevel': '6', 'Tel1': '06-6391-1301', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '25978', 'SubId': '2597801', 'Name': '新大阪', 'Railway': '大阪市営御堂筋線', 'Exit': '1', 'ExitId': '10703', 'Distance': '107', 'Time': '1'}, {'Id': '25978', 'SubId': '2597801', 'Name': '新大阪', 'Railway': '大阪市営御堂筋線', 'Exit': '2', 'ExitId': '10705', 'Distance': '107', 'Time': '1'}, {'Id': '25978', 'SubId': '2597801', 'Name': '新大阪', 'Railway': '大阪市営御堂筋線', 'Exit': '4', 'ExitId': '10707', 'Distance': '204', 'Time': '2'}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '8'}","135.499890277778,34.733973055556"
22730179219,W6pP00v49Rw,大阪暁　観光バス,"{'Type': 'point', 'Coordinates': '135.489057222222,34.608469166667'}",[],,[],"{'Uid': '509a7314806bce878c7f8b284f0ea45304c1a138', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'オオサカアカツキカンコウバス', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市住之江区安立１丁目４−１８', 'GovernmentCode': '27125', 'AddressMatchingLevel': '6', 'Tel1': '06-6671-8881', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Station': [{'Id': '26180', 'SubId': '2618001', 'Name': '細井川', 'Railway': '阪堺電気軌道', 'Exit': '出口2', 'ExitId': '11946', 'Distance': '408', 'Time': '4'}, {'Id': '26180', 'SubId': '2618001', 'Name': '細井川', 'Railway': '阪堺電気軌道', 'Exit': '出口1', 'ExitId': '11945', 'Distance': '416', 'Time': '4'}, {'Id': '25989', 'SubId': '2598901', 'Name': '住ノ江', 'Railway': '南海電気鉄道', 'Exit': '東出口', 'ExitId': '10793', 'Distance': '522', 'Time': '6'}], 'SmartPhoneCouponFlag': 'false'}","135.489057222222,34.608469166667"
22730188077,kJGLB73iB0g,滋賀観光バス株式会社大阪営業所,"{'Type': 'point', 'Coordinates': '135.554105833333,34.642955000000'}",[],,[],"{'Uid': 'f57f07146bbf57edf6ea65a69370bc9cb4520707', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'シガカンコウバスオオサカエイギョウショ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市平野区加美北１丁目８−１２', 'GovernmentCode': '27126', 'AddressMatchingLevel': '6', 'Tel1': '06-6752-8111', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Station': [{'Id': '26209', 'SubId': '2620901', 'Name': '南巽', 'Railway': '大阪市営千日前線', 'Exit': '3', 'ExitId': '12030', 'Distance': '148', 'Time': '1'}, {'Id': '26209', 'SubId': '2620901', 'Name': '南巽', 'Railway': '大阪市営千日前線', 'Exit': '2', 'ExitId': '12029', 'Distance': '169', 'Time': '2'}, {'Id': '26209', 'SubId': '2620901', 'Name': '南巽', 'Railway': '大阪市営千日前線', 'Exit': '1', 'ExitId': '12028', 'Distance': '188', 'Time': '2'}], 'SmartPhoneCouponFlag': 'false'}","135.554105833333,34.642955000000"
22730194081,EJUAVDaNYdc,大和観光バス株式会社,"{'Type': 'point', 'Coordinates': '135.576943888889,34.601879166667'}",[],,[],"{'Uid': 'fa56a48dddfd77a3e93a5ce5794f4b1cd143f910', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ヤマトカンコウバス', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市平野区長吉長原東３丁目５−４', 'GovernmentCode': '27126', 'AddressMatchingLevel': '6', 'Tel1': '06-6709-2646', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Station': [{'Id': '26095', 'SubId': '2609501', 'Name': '長原(大阪府)', 'Railway': '大阪市営谷町線', 'Exit': 'エレベータ', 'ExitId': '11156', 'Distance': '312', 'Time': '3'}, {'Id': '26095', 'SubId': '2609501', 'Name': '長原(大阪府)', 'Railway': '大阪市営谷町線', 'Exit': '2', 'ExitId': '11155', 'Distance': '325', 'Time': '4'}, {'Id': '26095', 'SubId': '2609501', 'Name': '長原(大阪府)', 'Railway': '大阪市営谷町線', 'Exit': '3', 'ExitId': '11158', 'Distance': '388', 'Time': '4'}], 'SmartPhoneCouponFlag': 'false'}","135.576943888889,34.601879166667"
22730204635,Sfzenh2NdrM,阪急観光バス株式会社　阪急バス定期券代売所,"{'Type': 'point', 'Coordinates': '135.497615277778,34.704180277778'}",[],,[],"{'Uid': '10af3cc5fa4ec958279eedae63af447ee1b10117', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ハンキュウカンコウバスハンキュウバステイキケンダイバイショ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市北区芝田１丁目１−３', 'GovernmentCode': '27127', 'AddressMatchingLevel': '6', 'Tel1': '06-6372-9847', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Area': [{'Code': '000057', 'Name': '大阪'}, {'Code': '000058', 'Name': '梅田'}, {'Code': '000061', 'Name': 'キタ'}], 'Station': [{'Id': '29089', 'SubId': '2908901', 'Name': '梅田(大阪市営)', 'Railway': '大阪市営御堂筋線', 'Exit': '2(御堂筋線梅田駅)', 'ExitId': '15849', 'Distance': '66', 'Time': '0'}, {'Id': '29089', 'SubId': '2908901', 'Name': '梅田(大阪市営)', 'Railway': '大阪市営御堂筋線', 'Exit': '4(御堂筋線梅田駅)', 'ExitId': '15833', 'Distance': '118', 'Time': '1'}, {'Id': '25848', 'SubId': '2584801', 'Name': '梅田(阪急線)', 'Railway': '阪急本線', 'Exit': '1階正面西側', 'ExitId': '10109', 'Distance': '124', 'Time': '1'}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '3'}","135.497615277778,34.704180277778"
22730215661,oFDuFj4HH5Y,株式会社ニューワールドツーリスト,"{'Type': 'point', 'Coordinates': '135.518122222222,34.694931944444'}",[],,[],"{'Uid': '1f5228fc8864244b65fe8fc22d52f0ac166526ef', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ニューワールドツーリスト', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市北区天満１丁目１９−１５', 'GovernmentCode': '27127', 'AddressMatchingLevel': '6', 'Tel1': '06-6353-4141', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Area': [{'Code': '000057', 'Name': '大阪'}], 'Station': [{'Id': '26065', 'SubId': '2606501', 'Name': '天満橋', 'Railway': '京阪本線/大阪市営谷町線', 'Exit': '13(京阪本線)', 'ExitId': '11067', 'Distance': '564', 'Time': '7'}, {'Id': '29159', 'SubId': '2915901', 'Name': '大阪天満宮', 'Railway': 'JR在来線', 'Exit': '2号出入口', 'ExitId': '16051', 'Distance': '591', 'Time': '7'}, {'Id': '26065', 'SubId': '2606501', 'Name': '天満橋', 'Railway': '京阪本線/大阪市営谷町線', 'Exit': '12(京阪本線)', 'ExitId': '11066', 'Distance': '605', 'Time': '7'}], 'SmartPhoneCouponFlag': 'false', 'KeepCount': '1'}","135.518122222222,34.694931944444"
22730248538,9hDdKX2_Yho,祐徳自動車株式会社　大阪営業所,"{'Type': 'point', 'Coordinates': '135.503632222222,34.679677777778'}",[],,[],"{'Uid': '93d9bad274d6440f9a847066ee0feb27a588a20b', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ユウトクジドウシヤオオサカエイギョウショ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市中央区北久宝寺町２丁目６−１', 'GovernmentCode': '27128', 'AddressMatchingLevel': '6', 'Tel1': '06-6252-2253', 'Genre': [{'Code': '0306004', 'Name': 'バス'}], 'Area': [{'Code': '000057', 'Name': '大阪'}], 'Station': [{'Id': '25945', 'SubId': '2594501', 'Name': '堺筋本町', 'Railway': '大阪市営堺筋線/大阪市営中央線', 'Exit': '11', 'ExitId': '10600', 'Distance': '496', 'Time': '5'}, {'Id': '26182', 'SubId': '2618201', 'Name': '本町', 'Railway': '大阪市営御堂筋線/大阪市営四つ橋線/大阪市営中央線', 'Exit': '12', 'ExitId': '11957', 'Distance': '535', 'Time': '6'}, {'Id': '25945', 'SubId': '2594501', 'Name': '堺筋本町', 'Railway': '大阪市営堺筋線/大阪市営中央線', 'Exit': '10', 'ExitId': '10614', 'Distance': '539', 'Time': '6'}], 'SmartPhoneCouponFlag': 'false'}","135.503632222222,34.679677777778"
22730292734,QrXpwWLZkJM,株式会社阪神観光開発,"{'Type': 'point', 'Coordinates': '135.504260000000,34.675822777778'}",[],,[],"{'Uid': '518981bcb5da8bbfb1d1f1229a0d7da6d92b38b7', 'CassetteId': 'd8a23e9e64a4c817227ab09858bc1330', 'Yomi': 'ハンシンカンコウカイハツ', 'Country': {'Code': 'JP', 'Name': '日本'}, 'Address': '大阪府大阪市中央区南船場２丁目１２−１', 'GovernmentCode': '27128', 'AddressMatchingLevel': '6', 'Tel1': '06-6282-0181', 'Genre': [{'Code': '0306004', 'Name': 'バス'}, {'Code': '0307001', 'Name': '旅行代理店'}], 'Area': [{'Code': '000057', 'Name': '大阪'}, {'Code': '000060', 'Name': '心斎橋'}, {'Code': '000062', 'Name': 'ミナミ'}], 'Station': [{'Id': '26096', 'SubId': '2609601', 'Name': '長堀橋', 'Railway': '大阪市営堺筋線/大阪市営長堀鶴見緑地線', 'Exit': '2-B(長堀橋駅)', 'ExitId': '11168', 'Distance': '296', 'Time': '3'}, {'Id': '26096', 'SubId': '2609601', 'Name': '長堀橋', 'Railway': '大阪市営堺筋線/大阪市営長堀鶴見緑地線', 'Exit': '1(長堀橋駅)', 'ExitId': '11169', 'Distance': '334', 'Time': '4'}, {'Id': '26096', 'SubId': '2609601', 'Name': '長堀橋', 'Railway': '大阪市営堺筋線/大阪市営長堀鶴見緑地線', 'Exit': '5-A(長堀橋駅)', 'ExitId': '11186', 'Distance': '347', 'Time': '4'}], 'SmartPhoneCouponFlag': 'false'}","135.504260000000,34.675822777778"
