station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,circuity_avg,edge_density_km,edge_length_avg,edge_length_total,intersection_count,intersection_density_km,k_avg,m,n,node_density_km,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segment_count,streets_per_node_avg,Circuit Index (μ),Alpha Index,Beta Index,Gamma Index,Road Density (km/km²),Intersection Density (nodes/km²),Average Circuitousness (A'),Degree Centrality (Mean),Degree Centrality (Std Dev),Closeness Centrality (Mean),Closeness Centrality (Std Dev),Betweenness Centrality (Mean),Betweenness Centrality (Std Dev),Global Integration (Mean),Global Integration (Std Dev),"Local Integration (Radius=3, Mean)","Local Integration (Radius=3, Std Dev)",similar_to,similar_area_to,geometry
1130208,1130208,新宿,,,11302,13,160-0022,東京都新宿区新宿三丁目38-1,139.700464,35.689729,1885-03-01,0000-00-00,0,1130208,shinjuku,0.8304546837191196,80100658952.43579,58.72482327891186,80100.65895243578,571.0,571000000.0,4.4794745484400655,1364.0,609.0,609000000.0,0.0,55775717543.40672,61.359425240271406,55775.71754340671,909.0,3.1330049261083746,4927.0,0.8004874086108854,2.599350649350649,0.8670132120424519,114.72252617473542,1531.8663272594924,0.811272412956807,0.0016884382262751,0.0005989918055665,0.0010335955007627,0.0002257100343293,0.0104850534026246,0.0130159522199891,0.5039705072146073,11.52504852530676,0.0437601867209031,0.1794060659829874,新宿,都心・副都心エリア(新宿),POINT (139.700464 35.689729)
1130214,1130214,巣鴨,,,11302,13,170-0002,東京都豊島区巣鴨一丁目16-1,139.739303,35.733445,1903-04-01,0000-00-00,0,1130214,sugamo,0.8258262907071443,83539005677.21895,60.799858571483945,83539.00567721894,545.0,545000000.0,4.872340425531915,1374.0,564.0,564000000.0,0.0,52276603814.24023,62.08622780788625,52276.60381424023,842.0,3.148936170212766,4012.0,0.7514515826933883,2.501122754491018,0.8343320848938827,96.2886916499807,1328.943774817326,0.8108318971711882,0.0018727987678704,0.0007065368118673,0.0008952989108573,0.0001567526336925,0.0141151416180423,0.0193151522658797,0.7469762246319755,14.800204687686843,0.0451087664676252,0.2088890714002456,新宿,都心・副都心エリア(新宿),POINT (139.739303 35.733445)
1130215,1130215,駒込,,,11302,13,170-0003,東京都豊島区駒込二丁目1-1,139.748053,35.736825,1910-11-15,0000-00-00,0,1130215,komagome,0.829543675617553,90688857657.07867,58.546712496500106,90688.85765707868,577.0,577000000.0,5.304794520547945,1549.0,584.0,584000000.0,0.0,54224294593.96163,59.65268932229002,54224.29459396163,909.0,3.243150684931507,4953.0,0.8134340614222368,2.6252051197899573,0.8756431308155446,108.4576820017858,1515.4534737531408,0.8108017591306312,0.0017237065789822,0.0006138877055944,0.0009717642771478,0.0001968718555856,0.0129736145174922,0.0185604106885414,1.5722762878688668,38.9934401127691,0.0465826341240507,0.2067577015221068,新宿,都心・副都心エリア(新宿),POINT (139.748053 35.736825)
1130220,1130220,上野,,,11302,13,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379,1883-07-28,0000-00-00,0,1130220,ueno,0.8261205178578952,82468262819.14514,52.96612897825635,82468.26281914514,712.0,712000000.0,4.325,1557.0,720.0,720000000.0,0.0017376194613379,61725913883.71181,53.62807461660452,61725.9138837118,1151.0,3.344444444444445,6022.0,0.8409440022343249,2.6804353893385438,0.8939774737038071,124.28234989229824,1782.0380034320656,0.8110453537321112,0.00149661384106,0.0004677051546156,0.0009767134266838,0.0001985324519715,0.0107160502809145,0.0134961900177753,0.461045907383585,9.360784239323218,0.0564427806056874,0.2119682940794304,新宿,都心・副都心エリア(新宿),POINT (139.777043 35.71379)
1130221,1130221,御徒町,,,11302,13,110-0005,東京都台東区上野五丁目27,139.774727,35.707282,1925-11-01,0000-00-00,0,1130221,okachimachi,0.8179815395246754,103358907203.2986,45.57271040709815,103358.9072032986,1048.0,1048000000.0,4.235294117647059,2268.0,1071.0,1071000000.0,0.0005797101449275,79546258448.79723,46.11377301379549,79546.25844879722,1725.0,3.3211951447245567,6915.0,0.8219422322595983,2.642670468044666,0.8813089295618414,133.1818027450422,2093.384860855586,0.811102629966058,0.0012560220855725,0.000389833307295,0.001000519001564,0.0001733513073412,0.0100608402278968,0.0119422495687312,0.7033078715100228,17.72870861468431,0.0565987733921192,0.2074795175069728,新宿,都心・副都心エリア(新宿),POINT (139.774727 35.707282)
1130225,1130225,有楽町,,,11302,13,100-0006,東京都千代田区有楽町二丁目9,139.763806,35.675441,1910-06-25,0000-00-00,0,1130225,yuurakuchou,0.8204835534640006,67866664926.29057,72.7402625147809,67866.66492629057,495.0,495000000.0,3.7171314741035855,933.0,502.0,502000000.0,0.0,61475653285.0341,75.43024942948969,61475.6532850341,815.0,3.460159362549801,5805.0,0.8436273797413166,2.6857391809468485,0.8957667344764119,134.24600418467602,1712.4077158293612,0.8114323000855974,0.0015605689604572,0.0004701372516019,0.0010371202461654,0.0002069687299777,0.0106895761593629,0.0128779094152414,0.8012709295502176,26.135770040947488,0.0712521067558518,0.1968075984410794,新宿,都心・副都心エリア(新宿),POINT (139.763806 35.675441)
2200701,2200701,西武新宿,,,22007,13,160-0021,新宿区歌舞伎町１-３０-１,139.7,35.696254,0000-00-00,0000-00-00,0,2200701,seibushinjuku,0.8304980232275209,84014410976.96913,60.48553706045293,84014.41097696913,605.0,605000000.0,4.30030959752322,1389.0,646.0,646000000.0,0.0,59556677219.19696,61.39863630845047,59556.67721919696,970.0,3.147058823529412,4818.0,0.7912629331581541,2.580899245159173,0.8608648056923919,112.08227994754183,1515.4534737531408,0.8112317088806333,0.0016946153940638,0.0006099944988356,0.0010024824425645,0.0002254283093326,0.0111190191554028,0.0140567468350967,0.9941067884453804,17.10384596883174,0.0428707074382274,0.1760630120273614,新宿,都心・副都心エリア(新宿),POINT (139.7 35.696254)
2300101,2300101,京成上野,,,23001,13,110-0007,東京都台東区上野公園1-60,139.773571,35.711232,0000-00-00,0000-00-00,0,2300101,keiseiueno,0.8241947045519029,85121835153.16222,50.16018571194002,85121.83515316222,763.0,763000000.0,4.334610472541507,1697.0,783.0,783000000.0,0.0016220600162206,61863712076.8335,50.17332690740754,61863.7120768335,1233.0,3.2873563218390807,6147.0,0.8396393935254747,2.677859677859678,0.8931075298188109,125.01227836080538,1821.8267392050395,0.8110702926377572,0.0014625121124301,0.0004526690764844,0.0009947187472642,0.0001917941853471,0.0108828462730299,0.014069322139666,0.2234205928089824,4.482324842905229,0.0622938261446826,0.2125752484400014,新宿,都心・副都心エリア(新宿),POINT (139.773571 35.711232)
2400701,1130208,新線新宿,,,24007,13,160-0023,東京都新宿区西新宿一丁目18,139.698812,35.68869,0000-00-00,0000-00-00,0,2400601,shinsenshinjuku,0.833252918563569,83685917754.67204,61.89786816173968,83685.91775467205,565.0,565000000.0,4.454695222405272,1352.0,607.0,607000000.0,0.0,58990257295.97587,65.54473032886207,58990.25729597586,900.0,3.1350906095551894,5076.0,0.7952373492088359,2.58891671884784,0.8635129490392648,119.0297288364711,1588.5652757359803,0.8112787790223016,0.0016216202435626,0.0005774685733593,0.0009953145166345,0.0002000212036583,0.0101631124238373,0.0129397354242547,0.9655264211265544,19.57818334100931,0.0449730527844072,0.1816230622324913,新宿,都心・副都心エリア(新宿),POINT (139.698812 35.68869)
2800103,2800103,稲荷町,,,28001,13,110-0015,台東区東上野３-３３-１１,139.782593,35.711273,0000-00-00,0000-00-00,0,2800103,inarichou,0.8151081745724796,104673173881.37784,48.28098426262815,104673.17388137784,1029.0,1029000000.0,4.185328185328185,2168.0,1036.0,1036000000.0,0.0011648223645894,84173182019.63025,49.02340245755984,84173.18201963024,1717.0,3.4276061776061777,6880.0,0.8139122205134272,2.626625679829747,0.8759561548773755,132.33161275146233,2103.332044798829,0.8110648175752987,0.0012424908608466,0.0003879831627055,0.000971336059516,0.0001696549209516,0.0101534322773442,0.0114510653905236,0.9525254247118036,21.649555865447603,0.0445523614138819,0.1655172341779487,新宿,都心・副都心エリア(新宿),POINT (139.782593 35.711273)
