station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,circuity_avg,edge_density_km,edge_length_avg,edge_length_total,intersection_count,intersection_density_km,k_avg,m,n,node_density_km,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segment_count,streets_per_node_avg,Circuit Index (μ),Alpha Index,Beta Index,Gamma Index,Road Density (km/km²),Intersection Density (nodes/km²),Average Circuitousness (A'),Degree Centrality (Mean),Degree Centrality (Std Dev),Closeness Centrality (Mean),Closeness Centrality (Std Dev),Betweenness Centrality (Mean),Betweenness Centrality (Std Dev),Global Integration (Mean),Global Integration (Std Dev),"Local Integration (Radius=3, Mean)","Local Integration (Radius=3, Std Dev)"
1130101,1130101,東京,,,11301,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1130101,toukyou,0.8222880649906775,56485908325.21297,75.31454443361729,56485.90832521296,398.0,398000000.0,3.7220843672456576,750.0,403.0,403000000.0,0.0015455950540958,49383490836.70868,76.32687919120352,49383.49083670868,647.0,3.4590570719602978,5105.0,0.8107035096077497,2.6198032370675977,0.8738223774743304,121.90017165433132,1567.1788302580069,0.8113691097202284,0.001663367134646,0.00056892836204,0.0009934112433286,0.0001994507321298,0.0105677457850211,0.0128179774812735,2.0312090549801614,62.70188073019907,0.0600912328564859,0.1901313236115172
1130102,1130102,新橋,,,11301,13,105-0004,東京都港区新橋二丁目17,139.758587,35.666195,0000-00-00,0000-00-00,0,1130102,shinbashi,0.8241240115537475,84724879109.82986,60.43144016393,84724.87910982985,669.0,669000000.0,4.185074626865672,1402.0,670.0,670000000.0,0.0,70338949361.76085,63.54015299165388,70338.94936176084,1107.0,3.446268656716418,6134.0,0.8875705397192881,2.7735685367264318,0.9250578703703703,130.5737498777683,1719.868103786794,0.8115136497718908,0.0016046100877792,0.0004449246380549,0.0010707295592457,0.0002065776869457,0.0108114816642065,0.0130529199146847,0.0575868911861678,1.7021891614414748,0.0673987760475058,0.1923262112601872
1130103,1130103,品川,,,11301,13,108-0074,東京都港区高輪三丁目26-27,139.738999,35.62876,0000-00-00,0000-00-00,0,1130103,shinagawa,0.8399732043181812,54042931969.68722,72.54084828145936,54042.93196968722,301.0,301000000.0,4.257142857142857,745.0,350.0,350000000.0,0.0020746887966804,36284562203.98667,75.27917469706779,36284.56220398667,482.0,2.9457142857142857,1717.0,0.7507651945780498,2.4973821989528795,0.833916083916084,64.75714336085173,569.9736399478502,0.8119013932857907,0.0043622396488259,0.0015853180003328,0.0008627499459965,0.0001695938188525,0.0211542451885738,0.030959960770125,0.1166603453539488,2.686558859348764,0.0214090308718255,0.1182975581922908
1130201,1130201,大崎,,,11302,13,141-0032,東京都品川区大崎一丁目21-4,139.728439,35.619772,1901-02-25,0000-00-00,0,1130201,oosaki,0.8438753461451936,96936718354.62833,61.00485736603419,96936.71835462832,592.0,592000000.0,4.708148148148148,1589.0,675.0,675000000.0,0.0,57259672612.4321,60.4642794217868,57259.6726124321,947.0,2.933333333333333,3467.0,0.8304191616766468,2.658373205741627,0.8869731800766284,98.59706229190648,1039.4807220689413,0.8119871226711951,0.0025451155631801,0.0008794594231907,0.0010007559576081,0.0001869303210574,0.0152805478925184,0.0201718505884536,0.125881696920826,4.340197448150806,0.0251109807390539,0.1104796672002991
1130202,1130202,五反田,,,11302,13,141-0022,東京都品川区東五反田一丁目26,139.723822,35.625974,1911-10-15,0000-00-00,0,1130202,gotanda,0.8447006110148264,99041906985.0334,61.136979620390974,99041.90698503338,650.0,650000000.0,4.49375866851595,1620.0,721.0,721000000.0,0.0,63660799039.953606,60.45659927820854,63660.7990399536,1053.0,3.0388349514563107,2829.0,0.7838736492103076,2.5650249031543995,0.8559556786703602,86.7126509628673,898.7280692720465,0.811941068069912,0.0028405591397058,0.0010217080404174,0.0010182306090196,0.0002468134918971,0.0158492355438914,0.0184451433388554,0.100924600363873,1.8820092716202637,0.0169373459250652,0.0865664621911285
1130203,1130203,目黒,,,11302,13,141-0021,東京都品川区上大崎二丁目16-9,139.715775,35.633923,1885-03-16,0000-00-00,0,1130203,meguro,0.8529052281953243,75599776162.58711,77.06399201079216,75599.7761625871,392.0,392000000.0,4.33112582781457,981.0,453.0,453000000.0,0.0,47285890270.2228,77.77284583918224,47285.8902702228,608.0,2.8984547461368653,2098.0,0.7727440147329651,2.5419117647058824,0.8485517918507609,73.1427883987828,676.4085081405551,0.8118517579042949,0.0037408561658659,0.0013618570836542,0.0009224671949249,0.000202162761607,0.0204045302948561,0.0262567344389844,0.0674354273243082,2.451047851270392,0.0205195347053527,0.1090575982775014
1130204,1130204,恵比寿,,,11302,13,150-0022,東京都渋谷区恵比寿南一丁目5-5,139.71007,35.646685,1901-02-25,0000-00-00,0,1130204,ebisu,0.85368180659791,77218272210.95856,67.61670071012134,77218.27221095856,427.0,427000000.0,4.880341880341881,1142.0,468.0,468000000.0,0.0015015015015015,45311224761.4093,68.03487201412808,45311.2247614093,666.0,3.014957264957265,2640.0,0.8675649030561945,2.7316272965879267,0.9117389399912396,82.89309684027958,757.9754164751515,0.8117096059288149,0.0035871665089795,0.0011524517210198,0.0010286000854821,0.0002560183830989,0.0169572581980888,0.0214433447810507,0.0152303789638443,0.552590923126995,0.0173089191784388,0.096706187744248
1130205,1130205,渋谷,,,11302,13,150-0043,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871,1885-03-01,0000-00-00,0,1130205,shibuya,0.8351710818624877,88689663882.19846,65.64741960192336,88689.66388219845,561.0,561000000.0,4.548821548821548,1351.0,594.0,594000000.0,0.0,59229145874.53645,67.22945048188019,59229.14587453645,881.0,3.104377104377104,3775.0,0.8398220244716351,2.6773333333333333,0.8932384341637011,100.706870472182,1119.058193614889,0.8115937236855717,0.0023809100340892,0.0008157415349326,0.001093480554182,0.0002421173802515,0.0124131520340044,0.015307601327657,0.0822161276471211,1.478541656186787,0.0467093018673313,0.169446163497883
1130206,1130206,原宿,,,11302,13,150-0001,東京都渋谷区神宮前一丁目18,139.702592,35.670646,1906-10-30,0000-00-00,0,1130206,harajuku,0.8414992135915139,50339926963.91026,63.72142653659528,50339.92696391026,309.0,309000000.0,4.674556213017752,790.0,338.0,338000000.0,0.0,31190076657.203167,65.25120639582252,31190.076657203164,478.0,3.0502958579881656,2287.0,0.827124773960217,2.6505415162454877,0.8847915160279586,73.42749281448002,688.8424880696094,0.8114838860311446,0.0038302623067131,0.0013124141699216,0.0009739262749339,0.0002342482516404,0.0184641847649262,0.0250992534660758,0.2537212332403584,5.641332371996968,0.0395971304795865,0.1765741513977457
1130207,1130207,代々木,,,11302,13,151-0053,東京都渋谷区代々木一丁目34-1,139.702042,35.683061,1906-09-23,0000-00-00,0,1130207,yoyogi,0.8337338372990842,77764738273.84767,57.13794142090204,77764.73827384767,497.0,497000000.0,5.031423290203327,1361.0,541.0,541000000.0,0.0,46883241126.49469,59.42109141507565,46883.241126494686,789.0,3.0720887245841038,2937.0,0.838424207821867,2.673888255416192,0.8923135464231354,83.98119297570692,872.3680318224513,0.811331943131467,0.0030506426188433,0.0010733566853217,0.0009000535121691,0.0001966830942431,0.0164936972335259,0.0242298454512867,0.246536633669401,2.970603304959916,0.0253998204730851,0.1235610908981519
